,Code,Description,Unit,,,Category
564,RGDI-,Range - drop in - Standard grade,EA,&,$796.01,
565,RGDI+,Range - drop in - High grade,EA,&,"$1,451.13",
566,RGDI++,Range - drop in - Premium grade,EA,&,"$2,346.97",
567,RGDIRS,Range - drop in - Detach & reset,EA,#ERROR!,$88.08,
568,RGDO,Range - freestanding - double oven - electric,EA,&,"$1,388.35",
569,RGDO+,Range - freestanding - double oven - electric - High grade,EA,&,"$1,748.35",
570,RGDO++,Range - freestanding - double oven - elec. - Premium grade,EA,&,"$2,100.84",
571,RGDOG,Range - freestanding - double oven - gas,EA,&,"$1,695.56",
572,RGDOG+,Range - freestanding - double oven - gas - High grade,EA,&,"$2,056.56",
573,RGDOG++,Range - freestanding - double oven - gas - Premium grade,EA,&,"$2,521.56",
574,RGG,Range - freestanding - gas,EA,&,$771.56,
575,RGG+,Range - freestanding - gas - High grade,EA,&,"$1,046.56",
576,RGG++,Range - freestanding - gas - Premium grade,EA,&,"$2,311.56",
577,RGGC,"Range - Commercial - 30"" - gas",EA,&,"$4,234.56",
578,RGGC+,"Range - Commercial - 36"" - gas",EA,&,"$5,478.56",
579,RGGC++,"Range - Commercial - 48"" - gas",EA,&,"$6,966.58",
580,RGGCRS,Range - Commercial - gas - Detach & reset,EA,#ERROR!,$148.63,
581,RGGRS,Range - gas - Remove & reset,EA,#ERROR!,$99.14,
582,RGM,Range - mobile home,EA,&,$383.30,
583,RGRS,Range - electric - Remove & reset,EA,#ERROR!,$27.50,
584,RGS,Range - slide in - electric,EA,&,"$1,347.13",
585,RGS-,Range - slide in - electric - Standard grade,EA,&,$835.52,
586,RGS+,Range - slide in - electric - High grade,EA,&,"$1,848.68",
587,RGS++,Range - slide in - electric - Premium grade,EA,&,"$2,190.70",
588,RGS+++,Range - slide in - electric - Deluxe grade,EA,&,"$2,671.94",
589,RGSG,Range - slide in - gas,EA,&,"$1,340.82",
590,RGSG-,Range - slide in - gas - Standard grade,EA,&,"$1,112.26",
591,RGSG+,Range - slide in - gas - High grade,EA,&,"$1,762.31",
592,RGSG++,Range - slide in - gas - Premium grade,EA,&,"$2,027.84",
593,RGSG+++,Range - slide in - gas - Deluxe grade,EA,&,"$2,327.39",
594,TC,Trash compactor,EA,&,$562.40,
595,TC+,Trash compactor - High grade,EA,&,$615.74,
596,TCRS,Trash compactor - Remove & reset,EA,#ERROR!,$66.08,
597,WASF,Washer/Washing Machine - Front-loading,EA,&,$980.21,
598,WASF-,Washer/Washing Machine - Front-loading - Standard grade,EA,&,$736.53,
599,WASF+,Washer/Washing Machine - Front-loading - High grade,EA,&,"$1,270.29",
600,WASF++,Washer/Washing Machine - Front-loading - Premium grade,EA,&,"$1,610.77",
601,WASHC,Washer - Light commercial,EA,&,$976.60,
602,WAST,Washer/Washing Machine - Top-loading,EA,&,$629.53,
603,WAST-,Washer/Washing Machine - Top-loading - Standard grade,EA,&,$459.53,
604,WAST+,Washer/Washing Machine - Top-loading - High grade,EA,&,$829.53,
605,WAST++,Washer/Washing Machine - Top-loading - Premium grade,EA,&,"$1,090.19",
606,WAST+++,Washer/Washing Machine - Top-loading - Deluxe grade,EA,&,"$1,437.02",
607,WD,"Warming drawer, 30"" - built-in",EA,&,$825.89,
608,WD+,"Warming drawer, 30"" - built-in - High grade",EA,&,"$1,014.70",
609,WD++,"Warming drawer, 30"" - built-in - Premium grade",EA,&,"$1,365.49",
610,WDCE,Washer/Washing machine & dryer combo - Electric,EA,&,"$1,075.76",
611,WDCE+,Washer/Washing machine & dryer combo - Electric - High grd,EA,&,"$1,517.90",
612,WDCG,Washer/Washing machine & dryer combo - Gas,EA,&,"$1,229.16",
613,WDCG+,Washer/Washing machine & dryer combo - Gas - High grade,EA,&,"$1,589.16",
614,WDRS,Built-in warming drawer - Detach & reset,EA,#ERROR!,$95.23,
615,WDSGRS,Stackable washer and dryer - Gas - Remove & reset,EA,#ERROR!,$96.46,
616,WDSRS,Stackable washer and dryer - Remove & reset,EA,#ERROR!,$32.43,
617,WEC,Washer - Extractor - Commercial - 18-20 lb capacity,EA,&,"$4,485.81",
618,WEC>,Washer - Extractor - Commercial - 30-40 lb capacity,EA,&,"$7,954.01",
619,WEC>>,Washer - Extractor - Commercial - 50-60 lb capacity,EA,&,"$11,604.01",
620,WEC>>>,Washer - Extractor - Commercial - 70-80 lb capacity,EA,&,"$15,457.53",
621,WEC>>>>,Washer - Extractor - Commercial - 90-125 lb capacity,EA,&,"$21,632.15",
622,WECB,Washer - Commercial - coin box,EA,&,$120.06,
623,WERS,Washer - Extractor - Remove & reset,EA,#ERROR!,$71.34,
624,WL,"Appliance water line - 1/4""",EA,&,$52.43,
625,WSHRS,Washing machine - Remove & reset,EA,#ERROR!,$22.91,
